item_id,group,feature,session,target_set,instance,full_name
C1-S1-al,C-1,al,1,1,1,ethanal
C1-S1-amide,C-1,amide,1,4,1,hexanamide
C1-S1-ene,C-1,ene,1,2,1,pent-2-ene
C1-S1-eth,C-1,eth,1,1,1,ethane
C1-S1-fluoro,C-1,fluoro,1,2,1,1-fluoropropane
C1-S1-hex,C-1,hex,1,1,1,hexane
C1-S1-iodo,C-1,iodo,1,1,1,iodoethane
C1-S1-ol,C-1,ol,1,4,1,cyclohexanol
C1-S1-pent,C-1,pent,1,3,2,pentane
C1-S1-prop,C-1,prop,1,2,1,cyclopropane
C1-S1-pyridine,C-1,pyridine,1,2,2,pyridine
C1-S1-pyrrole,C-1,pyrrole,1,3,3,pyrrole
C1-S2-al,C-1,al,2,3,1,pentanal
C1-S2-amide,C-1,amide,2,3,1,pentanamide
C1-S2-ene,C-1,ene,2,3,1,hex-1-ene
C1-S2-eth,C-1,eth,2,4,1,iodoethane
C1-S2-fluoro,C-1,fluoro,2,1,1,fluoroethane
C1-S2-hex,C-1,hex,2,4,1,hex-3-ene
C1-S2-iodo,C-1,iodo,2,4,1,1-iodopentane
C1-S2-ol,C-1,ol,2,3,1,cyclopentanol
C1-S2-pent,C-1,pent,2,2,1,cyclopentane
C1-S2-prop,C-1,prop,2,1,1,propane
C1-S2-pyridine,C-1,pyridine,2,4,4,pyridine
C1-S2-pyrrole,C-1,pyrrole,2,2,2,pyrrole
C1-S3-al,C-1,al,3,2,1,propanal
C1-S3-amide,C-1,amide,3,2,1,propanamide
C1-S3-ene,C-1,ene,3,1,1,propene
C1-S3-eth,C-1,eth,3,2,2,ethane
C1-S3-fluoro,C-1,fluoro,3,4,1,1-fluorohexane
C1-S3-hex,C-1,hex,3,3,1,cyclohexane
C1-S3-iodo,C-1,iodo,3,3,1,2-iodopentane
C1-S3-ol,C-1,ol,3,1,1,propan-1-ol
C1-S3-pent,C-1,pent,3,1,1,pentane
C1-S3-prop,C-1,prop,3,4,2,cyclopropane
C1-S3-pyridine,C-1,pyridine,3,3,3,pyridine
C1-S3-pyrrole,C-1,pyrrole,3,4,4,pyrrole
C1-S4-al,C-1,al,4,4,1,hexanal
C1-S4-amide,C-1,amide,4,1,1,ethanamide
C1-S4-ene,C-1,ene,4,4,1,hex-2-ene
C1-S4-eth,C-1,eth,4,3,1,ethanol
C1-S4-fluoro,C-1,fluoro,4,3,1,2-fluoropropane
C1-S4-hex,C-1,hex,4,2,2,hexane
C1-S4-iodo,C-1,iodo,4,2,1,2-iodopropane
C1-S4-ol,C-1,ol,4,2,1,propan-2-ol
C1-S4-pent,C-1,pent,4,4,2,cyclopentane
C1-S4-prop,C-1,prop,4,3,2,propane
C1-S4-pyridine,C-1,pyridine,4,1,1,pyridine
